
Biswasuk Sevasram Sangha, S/13734 of 1973-1974, 19-11-1973, Kolkata: West Bengal, Swami Sukananda Brahmachari, Thakur Sukdev Sarani P.o.- Ichapur-nawabganj Dist.- North 24 Parganas West Bengal: Pin Code-743144, Aged/Elderly: Agriculture: Children: Disaster Management: Dalit Upliftment: Education & Literacy: Health & Family Welfare: Rural Development & Poverty Alleviation: Vocational Training
Khistiz Agrotech, 159, 02-07-2014, Patna: Bihar, Sunil Kumar, Beside Delhi Public School: Priyadarshi Nagar: Rupaspur Thana More: West Bailey Road: Patna, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Art & Culture: Biotechnology: Children: Civic Issues: Differently Abled: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Housing: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Land Resources: Micro Finance (SHGs): Minority Issues: Micro Small & Medium Enterprises:
Manav Sahayta Sewa Sansthan, 520, 30-07-2005, Faizabad: Uttar Pradesh, Suresh Mishra, 268 Awas Vikas Colony Gonda ( U.p.) 271002, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Art & Culture: Biotechnology: Children: Civic Issues: Differently Abled: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Housing: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Land Resources: Micro Finance (SHGs): Minority Issues: Micro Small & Medium Enterprises:
Sarojini Naidu Rural Welfare And Educatiooon Trust, 73-2003, 21-03-2003, Dindigul: Tamil Nadu, V Muthu Suguna, V Muthusuguna 21 Judge G Ramachandran Nagar Jambuliapatty Post Dindigul 5 Tamilnadu Pin 624005, Aged/Elderly: Children: Education & Literacy: Legal Awareness & Aid: Micro Finance (SHGs): Rural Development & Poverty Alleviation: Water Resources: Women's Development & Empowerment
Tapuriaghata Nari Unnayan Kendra, S/1L/7367, 10-07-2002, Kolkata: West Bengal, Oaindrila Pal, Tapuriaghata P.o. -nawbhanga Kolkata - 700 105, Aged/Elderly: Children: Vocational Training: Women's Development & Empowerment: Any Other
Animal Protection And Human Welfare Trust, 2094, 17-04-2012, Patna: Bihar, Mr Ashok Kumar, Head Office: At - Khandakpar: Near Devi Asthan: Biharsharif: Distt.- Nalanda: Pin No.- 803 101: Bihar: India, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Art & Culture: Biotechnology: Children: Civic Issues: Differently Abled: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Housing: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Land Resources: Micro Finance (SHGs): Minority Issues: Micro Small & Medium Enterprises
Jan Chetna Samiti, ROS/127, 21-10-2008, Karnal: Haryana, Sunil Dutt, V.p.o Amupur: Distt. Karnal: Haryana 132001, Aged/Elderly: Art & Culture: Education & Literacy: Food Processing: Health & Family Welfare: HIV/AIDS: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Minority Issues: Micro Small & Medium Enterprises: Panchayati Raj: Rural Development & Poverty Alleviation: Sports: Urban Development & Poverty Alleviation: Women's Development & Empowerment: Youth Affairs
Rural Development Society, 2800 Imphal District of 1993, 25-09-1993, Imphal: Manipur, Phijam Sunil Singh, Awang Wabagai Po Mantripukhri Imphal West District: Manipur Pin 795002, Aged/Elderly: Agriculture: Art & Culture: Children: Differently Abled: Disaster Management: Drinking Water: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Legal Awareness & Aid: Rural Development & Poverty Alleviation: Vocational Training: Women's Development & Empowerment: Youth Affairs
Youth Action For Rural Development, 10008/1999, 29-12-1999, Hydarabad: Andhra Pradesh, Ravi Kumar, Vill; Vilasagar: Mond; Boinpally: Dist;karimnagar, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Art & Culture: Biotechnology: Children: Civic Issues: Differently Abled: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Housing: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Land Resources: Micro Finance (SHGs): Minority Issues: Micro Small & Medium Enterprises:
Abhinav Aditya Shiksha Avam Lokklyan Samiti Sagar, 06/09/01/06356/08, 09-01-2008, Sagar: Madhya Pradesh, A K Upadhyay, 252/24doorsanchar Colony:rajakhedi(makroniya)sagar 470003, Animal Husbandry: Dairying  &  Fisheries: Aged/Elderly: Agriculture: Art & Culture: Biotechnology: Children: Civic Issues: Differently Abled: Disaster Management: Dalit Upliftment: Drinking Water: Education & Literacy: Environment & Forests: Food Processing: Health & Family Welfare: HIV/AIDS: Housing: Human Rights: Information & Communication Technology: Legal Awareness & Aid: Labour & Employment: Land Resources: Micro Finance (SHGs): Minority Issues: Micro Small & Medium Enterprises:
